Date, G Fund, F Fund, C Fund, S Fund, I Fund
2024-12-09, 18.7059, 19.8406, 95.5701, 96.3610, 43.6800
2024-12-06, 18.6993, 19.8907, 96.1474, 97.5419, 43.7593
2024-12-05, 18.6971, 19.8469, 95.8977, 96.9319, 43.8331
2024-12-04, 18.6950, 19.8420, 96.0723, 97.9625, 43.6413
2024-12-03, 18.6928, 19.7721, 95.4926, 96.8154, 43.5415
2024-12-02, 18.6906, 19.8137, 95.4489, 96.9744, 43.2176
2024-11-29, 18.6861, 19.8166, 95.2050, 96.9849, 43.1145
2024-11-27, 18.6793, 19.7298, 94.6646, 96.7224, 42.7367
2024-11-26, 18.6771, 19.6745, 95.0200, 96.8537, 42.6674
2024-11-25, 18.6748, 19.7054, 94.4730, 97.4642, 42.9072
2024-11-22, 18.6680, 19.5294, 94.1871, 96.2559, 42.6555
2024-11-21, 18.6658, 19.5205, 93.8581, 94.6413, 42.4370
2024-11-20, 18.6636, 19.5252, 93.3451, 93.0539, 42.3794
2024-11-19, 18.6613, 19.5495, 93.3400, 92.6787, 42.5790
2024-11-18, 18.6591, 19.5198, 92.9700, 91.8065, 42.5028
2024-11-15, 18.6523, 19.4934, 92.5928, 91.3423, 42.1863
2024-11-14, 18.6501, 19.4981, 93.8201, 92.5393, 42.4295
2024-11-13, 18.6478, 19.5056, 94.3814, 93.6091, 42.4018
2024-11-12, 18.6456, 19.5198, 94.3550, 94.2491, 42.7516
2024-11-08, 18.6365, 19.6594, 94.5314, 93.7551, 43.4457
2024-11-07, 18.6343, 19.6216, 94.1577, 93.1069, 43.8713
2024-11-06, 18.6321, 19.4850, 93.4610, 92.7728, 43.4163
2024-11-05, 18.6298, 19.6311, 91.1543, 88.5945, 43.7839
2024-11-04, 18.6276, 19.5992, 90.0493, 87.0715, 43.4109
2024-11-01, 18.6208, 19.5051, 90.2991, 86.9634, 43.3151
2024-10-31, 18.6189, 19.5932, 89.9277, 86.6133, 43.1207
2024-10-30, 18.6169, 19.6040, 91.6275, 87.8784, 43.5570
2024-10-29, 18.6149, 19.6160, 91.9304, 87.9154, 43.7902
2024-10-28, 18.6129, 19.5991, 91.7822, 87.8358, 43.8560
2024-10-25, 18.6070, 19.6274, 91.5386, 86.7344, 43.6447
2024-10-24, 18.6050, 19.6635, 91.5652, 87.1114, 43.7773
2024-10-23, 18.6030, 19.6287, 91.3691, 86.7437, 43.6398
2024-10-22, 18.6011, 19.6711, 92.2150, 87.4277, 44.0449
2024-10-21, 18.5991, 19.6822, 92.2588, 87.8488, 44.3659
2024-10-18, 18.5931, 19.8101, 92.4236, 88.8655, 44.7123
2024-10-17, 18.5912, 19.8003, 92.0534, 88.6970, 44.4650
2024-10-16, 18.5892, 19.8924, 92.0676, 88.7389, 44.4767
2024-10-15, 18.5872, 19.8633, 91.6381, 87.7925, 44.3475
2024-10-11, 18.5792, 19.8005, 91.6272, 87.3710, 44.7725
2024-10-10, 18.5773, 19.8027, 91.0767, 85.8754, 44.5870
2024-10-09, 18.5753, 19.8033, 91.2521, 86.0351, 44.6649
2024-10-08, 18.5733, 19.8549, 90.6051, 85.5087, 44.6203
2024-10-07, 18.5714, 19.8349, 89.7355, 85.2771, 44.5593
2024-10-04, 18.5654, 19.8906, 90.6030, 86.0157, 44.8806
2024-10-03, 18.5634, 20.0348, 89.7783, 84.7934, 44.6652
2024-10-02, 18.5615, 20.1105, 89.9294, 85.1509, 45.0812
2024-10-01, 18.5595, 20.1510, 89.9128, 85.0979, 45.1457
2024-09-30, 18.5575, 20.0913, 90.7562, 86.1045, 45.4739
2024-09-27, 18.5513, 20.1391, 90.3656, 86.0106, 45.7487
2024-09-26, 18.5493, 20.0850, 90.4765, 85.7441, 45.8866
2024-09-25, 18.5473, 20.0910, 90.1071, 85.1466, 45.0951
2024-09-24, 18.5453, 20.1573, 90.2750, 85.9357, 45.2488
2024-09-23, 18.5432, 20.1309, 90.0485, 85.7742, 44.9548
2024-09-20, 18.5371, 20.1417, 89.7959, 85.7204, 44.8402
2024-09-19, 18.5351, 20.1545, 89.9701, 86.3473, 45.1439
2024-09-18, 18.5330, 20.1466, 88.4631, 84.6402, 44.3486
2024-09-17, 18.5310, 20.2138, 88.7199, 84.6119, 44.5107
2024-09-16, 18.5290, 20.2450, 88.6950, 84.1699, 44.6097
2024-09-13, 18.5229, 20.1852, 88.5660, 83.7028, 44.3927
2024-09-12, 18.5208, 20.1449, 88.0751, 82.1708, 44.1938
2024-09-11, 18.5188, 20.1684, 87.4187, 81.3700, 43.8452
2024-09-10, 18.5168, 20.1776, 86.4949, 80.8163, 43.5742
2024-09-09, 18.5147, 20.1109, 86.1076, 80.8058, 43.7276
2024-09-06, 18.5086, 20.0832, 85.1135, 80.3117, 43.4208
2024-09-05, 18.5066, 20.0536, 86.5977, 81.6915, 44.1214
2024-09-04, 18.5045, 20.0100, 86.8565, 82.1180, 44.0963
2024-09-03, 18.5025, 19.9201, 86.9928, 82.3678, 44.2889
2024-08-30, 18.4962, 19.8266, 88.8635, 84.7940, 45.1255
2024-08-29, 18.4920, 19.8756, 87.9637, 84.1570, 44.9785
2024-08-28, 18.4899, 19.9050, 87.9629, 83.6513, 44.8577
2024-08-27, 18.4878, 19.9187, 88.4917, 84.2813, 44.9866
